제목,개봉일,평점,관객수,줄거리
"엘리오","애니메이션미국98분","없음","실관람객 평점
정보확인 내용 열고 닫기
9.5410
72명 참여","없음"
"혹성탈출","액션미국145분","없음","실관람객 평점
정보확인 내용 열고 닫기
7.6110
1,223명 참여","없음"
"범죄도시4","액션대한민국109분","없음","실관람객 평점
정보확인 내용 열고 닫기
7.5110
1,922명 참여","없음"
"쿵푸팬더4","애니메이션미국94분","없음","쿵푸팬더4
영화
Kung Fu Panda 4
2024
문서 저장하기
전체
기본정보
출연/제작진
관람평
무비클립
포토
리뷰
명대사
시리즈
보러가기
추천영화
다음
동영상 바로재생
우리 쿵푸팬더는요...
동영상 바로재생
덤벼! 아니 덤비지마.. 영상
동영상 바로재생
끝이 없는 팬더의 Next Steps
동영상 바로재생
도파민 STOP! 포 선생의 명상 강의
동영상 바로재생
용의 전사 내꼬 영상
동영상 바로재생
잭형, 베이비 원 모어 타임 MV
동영상 바로재생
잭 블랙이 말아주는 쿵푸팬더 요약zip
동영상 바로재생
'빌런 vs 팬더 '최고'들의 대결!' 영상
동영상 바로재생
인간팬더 잭 블랙 컴백
동영상 바로재생
'레전드 팬더 두둥 등장' 영상
동영상 바로재생
듄듄한 팬더 컴백 예고편
동영상 바로재생
1차 예고편
다음
개요
애니메이션미국94분
개봉
2024.04.10.
평점
7.04
관객수
177만명
오랜만이지! 드림웍스 레전드 시리즈 마침내 컴백! 마침내 내면의 평화… 냉면의 평화…가 찾아왔다고 믿는 용의 전사 ‘포’ 이젠 평화의 계곡의 영적 지도자가 되고, 자신을 ... 더보기
보러가기
좋아요
2,647
정보오류 수정요청
네이버 영화
정보확인 내용 열고 닫기

다른 사이트 더보기
감독/출연
더보기
마이크 미첼
감독
스테파니 스티네
감독
잭 블랙
포 목소리 역
아콰피나
젠 목소리 역
비올라 데이비스
카멜레온 목소리 역
더스틴 호프만
시푸 목소리 역
제임스 홍
핑 목소리 역
브라이언 크랜스톤
리 목소리 역
엄상현
포 목소리 역
김나율
젠 목소리 역
다음
관람평
더보기
실관람객 평점
정보확인 내용 열고 닫기
7.0410
518명 참여
남자
6.88
여자
7.25
점수별 비율
정보확인 내용 열고 닫기
9-10
20%
7-8
36%
5-6
35%
3-4
7%
1-2
2%
별점(10점 만점 중)
5
노잼 포를 오랜만에 봐서 좋긴한데 5인방은 나오지도 않고 빌런은 센척하더니만 순식간에 증발됨 돈벌려고 4 억지로 만든 것 같음
작성자
실관람객cotn****
공감542
별점(10점 만점 중)
5
큰거 한방 나오려나 기를 잔뜩 모으다가 뀐 피식방구.
작성자
실관람객5228****
공감246
별점(10점 만점 중)
6
이전 캐릭터들에 비해 여우캐릭터 디자인이 한참 부족한 느낌이에요.
작성자
실관람객deep****
공감224
별점(10점 만점 중)
6
무난하게 재밌음그렇지만 무난함, 꼭 봐야될 정도는 아닌..
작성자
실관람객hlee****
공감220
별점(10점 만점 중)
6
훔...쿵푸팬더는 꼭 챙겨봤는데.. 이번엔 처음으로 잠이 왔어요ㅜㅜ
작성자
실관람객red6****
공감221
별점(10점 만점 중)
10
몇년째 나와도 재밌다.
작성자
실관람객ye4u****
공감303
별점(10점 만점 중)
7
4편의 악당은 전작들의 악당에 비하면 임팩트는 너무 없어요 아무래도 포가 이미 쿵푸 정점을 찍다보니 포보다는 신캐 활약 비중이 많아보이더라고요
작성자
실관람객geen****
공감179
별점(10점 만점 중)
6
이제는 여기까지만하자
작성자
실관람객jym3****
공감166
별점(10점 만점 중)
10
판다야 너가 귀여운거 다해
작성자
실관람객m180****
공감142
다음
관련 영화 추천
더보기
캐리비안의 해적: 죽은 자는 말이 없다
쥬만지: 넥스트 레벨
고스트버스터즈
러브 앤 몬스터스
아이 엠 넘버 포
마법사의 제자
잃어버린 세계를 찾아서 2 : 신비의 섬
나쁜 녀석들 : 포에버
쿵푸 팬더 2
스타트렉 비욘드
다음
문서 저장하기
나무위키namu.wiki›쿵푸팬더_4
쿵푸팬더 4 - 나무위키
드림웍스 애니메이션 쿵푸팬더 시리즈의 4번째 장편영화. 1차 예고편에 나온 노래는 화이트 스트라입스의 노래인 Seven Nation Army를 중국풍으로 리믹스한 것으로 보인다.
장르
애니메이션, 액션, 코미디, 버디물
제작
레베카 헌틀리
감독
마이크 미첼, 스테파니 스타인
제작사
드림웍스 애니메이션
개요
개봉 전 정보
포스터
예고편
시놉시스
등장인물
줄거리
오마주
카멜레온(쿵푸팬더 시리즈)
쿵푸팬더 시리즈의 등장인물이자 4편의 메인 빌런 종은 베일드카멜레온. 이름은 이전에 나왔던 빌런들과는 달리, 종족 이름 그대로 그냥 카멜레온이다.과거 마스터를 꿈꿨으나, 미천한 신분과 작은 덩치 때문에 어떤 도장도 그녀를 받아주는 곳이 없었다고 한다. 결국 타락한 카멜레온은 대신 변신술이라는 마법을 배워 강력한 힘을 손에 얻었고, 코모도왕도마뱀...
관련문서 더보기
문서 저장하기
위키백과 한국어ko.wikipedia.org›쿵푸팬더_4
쿵푸팬더 4 - 위키백과 한국어
